L1,L2,C,R
4.382038e-09,4.457072e-10,7.565336e-13,5.000000e-01
3.031606e-09,6.072949e-10,6.301823e-13,5.000000e-01
5.025091e-10,8.174640e-10,4.700144e-13,5.000000e-01
5.000000e-09,2.241743e-10,7.468071e-13,5.000000e-01
4.928986e-09,3.419890e-10,6.059537e-13,5.000000e-01
5.000000e-09,1.318332e-10,8.453870e-13,5.000000e-01
4.752415e-09,4.455933e-10,8.312424e-13,5.000000e-01
5.000000e-09,5.462906e-10,9.738239e-13,5.000000e-01
4.916000e-09,4.491309e-10,1.007376e-12,5.000000e-01
5.000000e-09,3.577442e-10,9.212771e-13,5.000000e-01
5.000000e-09,1.025262e-10,8.262499e-13,5.000000e-01
5.000000e-09,3.528746e-10,8.177894e-13,5.000000e-01
3.674209e-09,4.438842e-10,9.682493e-13,5.000000e-01
5.000000e-09,3.297854e-10,9.022389e-13,5.000000e-01
3.266762e-09,5.832307e-10,1.015710e-12,5.000000e-01
5.000000e-09,4.505531e-10,1.009039e-12,5.000000e-01
4.285676e-09,4.979079e-10,7.516783e-13,5.000000e-01
3.725423e-09,4.989188e-10,1.051899e-12,5.000000e-01
5.000000e-09,4.434893e-10,8.033922e-13,5.000000e-01
5.000000e-09,3.249516e-10,8.909478e-13,5.000000e-01
5.000000e-09,2.148286e-10,9.190269e-13,5.000000e-01
4.888226e-09,3.956280e-10,9.364697e-13,5.000000e-01
4.177391e-09,5.240775e-10,1.095010e-12,5.000000e-01
3.105416e-09,6.170228e-10,7.933783e-13,5.000000e-01
5.000000e-09,1.127647e-10,9.289587e-13,5.000000e-01
4.964239e-09,4.724420e-10,8.900548e-13,5.000000e-01
2.875925e-09,1.000468e-10,9.391082e-13,5.000000e-01
5.000000e-09,1.397416e-10,6.587836e-13,5.000000e-01
3.155351e-09,4.338702e-10,7.721294e-13,5.000000e-01
2.983839e-09,1.016400e-10,4.767784e-13,5.000000e-01
4.952992e-09,4.748050e-10,7.137652e-13,5.000000e-01
